name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Cucumber green mottle mosaic virus	12235	S	6781	0	6781	0.63893
Pepper mild mottle virus	12239	S	15	0	15	0.00141
Severe acute respiratory syndrome-related coronavirus	694009	S	2992	0	2992	0.28192
Quadragintavirus ev129	2956347	S	168	64	232	0.02186
Evevirus ev239	2955874	S	77	8	85	0.00801
Peduovirus P22H1	2844217	S	40	1	41	0.00386
Jouyvirus ev017	2844245	S	53	96	149	0.01404
Jouyvirus ev207	2844249	S	22	78	100	0.00942
Carjivirus communis	2955582	S	28	4	32	0.00302
Carjivirus hominis	2955583	S	12	1	13	0.00122
Tequatrovirus gee4507	2844199	S	28	50	78	0.00735
Tequatrovirus kaw	2844208	S	20	27	47	0.00443
Radostvirus ev099	2844247	S	18	24	42	0.00396
